"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2","stringency_index","income_support","debt_relief","containment_index","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un"
"1",39.277,1.00253531556,2.66956762775,4.09047876407,87.4734277598,222.254989815,339.910803741,35.492083256,94.3704152246,150.1810945932,16.3210671471,45.7696618,69.8178673,2664327.23714739,19559904.560042,28313493.37614,10761942,22974552,11.565728,12.2499833,8.8120829,8.8120829,2.05,0.46,21.46226904,39.57352779,54.68133576,4.669467218,8.609867408,11.89681782,11.3,60.61,830.19,245.88,74.52,103.76,32.19,201.65,37.47,2.18,17.89,159.11,3.3,5.5,3.2,7.6,2.375,146.85739999,"1",40.1963536,1934.555,1646.83912376,2.5831,66.2,136.6529,19.21254,-0.000577607861902384,52.31,"0","0",42.8,1.80366024254,68970,25.796,183.9278576,32.5,0.8168,0.8307,3.1174,4.1256,1.1779,15.9552,27.1345,38.5183,1.1451,74.4934,3.4895,10.4124,4.8825,1.0633,0.1059,15.4114,0.528099999999999,3.3513,49.49,57.95,8.46,144.16689,1.6701e+11,9.3,91.1,55.77,28.4,45.4,5616.784475,6.81479273075,64.833,59.8,22.68245614,24.23413457,35.5,87,71861,36983,39835428
"2",169.226,0.759638581,2.588742379,4.281675858,63.46186972,216.2692046,357.7005729,8.162351323,27.81615538,46.0068031,0,14.59719,42.00774,0,419443.9779,1207074.346,2684815,195888,7.6878707,7.081062,8.0693345,8.0693345,0.47,0.18,0.1504723,0.703497643,1.804095769,0.059673811,0.278990789,0.715462385,29.44,28.82,374.06,136.5,11.15,21.85,8.57,19.79,5.47,0.08,0.98,122.34,4.21,21.7,21.6,21.8,5.365,225.27,"3",33.17109,11104.1665,4.0223,3.8,1.4,225.28,15.74343,-0.00229073065679859,37.96,"1","1",43.21,1.79093859313,29903,23.6,773.6782919,78.2,0.7158,0.1525,4.1801,3.7118,1.1827,9.2266,17.2982,26.184,0.759,60.6956,0.9351,9.233,5.2825,0.722,0.1439,14.9091,0.704,4.7251,67.77,77.59,9.83,440.42001,2.01e+09,13.378,14,13.99,9.2,8.5,1089.713154,5.073224387,78.573,77.5,27.17447081,26.50751203,6.2,0,392,251,2872934
"3",44.035,0.772870191,2.324307773,4.01711778,64.56726742,194.1777588,335.598812,12.42962964,37.38051374,64.60500976,0.1079367,3.01498,25.60362,44674.13448,1247876.042,10597132.98,34927459,4944069,12.2647583,12.5937459,10.7245025,10.7245025,0.29,0.13,16.07761847,19.68895834,63.68725223,1.019307132,1.248262963,4.037716813,16.4,52.78,287.77,66.88,29.4,24.27,13.86,71.2,9.59,0.86,1.04,67.53,3.98,27.4,19.9,34.9,4.745,247.73,"3",27.61573,14228.025,190.895216445,4.2775,1.5,329.8691,18.69578,-0.000882795440948193,50.46,"1","1",57.56,1.75214737172,34790,85.2,1031.16964,63.7,0.6792,0.2439,3.2247,3.252,1.1625,11.3136,17.908,29.3581,0.838399999999999,62.4169,1.0361,8.9972,4.4506,0.527,0.0938,13.2322,0.522,2.6766,66.07,77.41,11.34,289.74506,3e+08,18.9,24,24.11,15.1,33.7,1398.36594,7.156560136,76.88,74.4,24.86538555,26.56116565,15.5,15,13121,9039,44616626
"4",931.858,0.46891377325,2.32768481528,2.98279040091,40.6071016293,187.686153199,235.832924388,5.84295574716,30.8936313081,39.0353002279,1.21714489797,1.7930999061,1.4509921007,125771.044363753,227373.11179977,331581.124998555,78014,0,8.0856197,5.8184757,8.2099398,8.2099398,0.31,0.13,0.026552733,0.016817825,0.024597875,0.339328944,0.214922313,0.314346969,37.2374,45.37,130.3,25.24,4.11,23.83,7.45,14.78,11.03,0.08,0.46,133.38,4.19,25.6,25.9,25.3,6.79388,1549.0073811,"4",33.0132118,53546.731499,314.706367875,23.1804,4.284,1418.529,11.31511,-0.00400801054459056,46.3,"2","1",59.52,1.74202056059,18428.22,94.908,5948.635486,94.6,0.464,0.9092,2.4202,3.2931,1.0047,5.7949,14.8877,23.9728,0.3157,64.938,4.9464,17.4312,5.0686,0.6712,0.2198,15.0663,0.7934,3.8471,71.2,82.52,11.33,2164.9558,17433700000,10.392,2.8,2.11,3.827,9.4,174.268463,8.03274363563,83.732,81.2490000000001,27.47839497,26.27166071,1.4,0,1,1,77354
"5",8.215,1.401920388,3.230905193,4.582558116,117.1194977,269.9168916,382.8369353,31.49182841,72.57695431,102.9396071,48.10549,81.65487,90.50985,14343492.73,24346826.82,26987093.89,14375401,13483904,8.5194139,7.825495,5.4878877,5.4878877,0.63,0.18,952.7827003,1205.661598,1839.901489,270.1794406,341.8880044,521.738645,7,50.43,353.12,118.6,13.32,49.81,41.6,58.81,45.36,3.27,14.06,133.57,2.07,8.2,4,12.1,3.795,120.76,"2",51.27211,7771.4418,1392.07642,2.17,56.853,120.74,19.09459,-0.000300999221409617,56.94,"0","0",51.61,1.80956354616,93709,0,195.5144172,40.7,0.865,0.9047,2.9683,3.8895,1.1722,15.6057,30.4689,36.6993,1.1446,76.9229,4.0308,11.2712,4.8721,1.0493,0.107,13.9229,0.5082,2.1723,56.29,64.64,8.34,65.277954,4.999e+10,12.459,156.9,71.04,33.8,34.3,4544.832134,6.51036411408,61.147,51.7,22.43653817,24.37650146,48.7,68,46002,24251,33933611
"6",30.635,0.99704834482,2.83498963861,4.10330827591,80.5725813846,241.093759979,352.892512628,16.2968288139,59.2776070049,76.5750123029,1.41961901997,7.0809433138,17.88382362,35802.322172536,320124.99886965,3009101.7496499,87487,8232,9.9233293,13.0083446,13.5797672,13.5797672,0.73,0.29,0.132457059,0.168376437,0.533396037,2.533395448,3.220395365,10.20182013,16.7567,30.35,225.66,61.17,27.82,11.31,13.74,100.36,11.03,0.19,1.38,130.33,2.81,18.9,11.6,25.9,5.89979,428.1444974,"4",43.4610251,18449.955307,16.451394245,6.3966,3.369,414.2503,19.23006,-0.00424499199558711,61.2175,"1","0",67.4084,1.80210519907,27392.09,51.1,1105.111025,66.7,0.6589,0.4785,3.412,3.6112,1.1957,11.0636,19.3154,29.0693,0.844999999999999,78.7858,1.3472,10.0225,5.1816,0.7331,0.1093,14.5311,0.6503,3.4187,67.53,77.36,9.83,268.01904,2.6e+08,14.415,8.1,12.81,7.5,14.542,879.2413213,6.75935887873,77.016,75.8,25.82569643,27.96185992,4.9,0,9,7,98728
"7",657.805,0.652093819,2.624991673,3.4968817,54.47734498,219.2975499,292.1371512,7.704990358,31.01629693,41.31834865,0.2028175,4.592546,8.5967,89330.58455,2022778.206,3786400.267,41854725,1563040,9.8786283,9.4600896,10.5125892,10.5125892,0.21,0.1,28.11222577,41.8137066,162.742742,0.859084543,1.277789575,4.973273025,31.87,28.54,224.34,44.52,22.12,40.59,16.37,53.78,15.63,0.31,1.12,154.12,5.43,28.3,27.3,29,5.901,519.1482951,"3",38.5803677,18556.3831,256.282925,6.50069999999999,2.9,497.8664,18.87541,-0.00061172686839784,75.93,"1","1",74.17,1.70966473692,26808,96.8,1389.840341,68.4,0.6286,0.3825,3.128,2.4306,1.0663,11.2713,17.7097,26.3533,0.7098,53.8103,1.2733,8.4419,3.8858,0.2159,0.0987999999999999,13.9069,0.5023,2.5145,67.22,76.71,9.48,245.00212,8.1e+08,6.2,12.5,12.06,9.5,6.2,949.6708534,7.587625835,76.667,76,28.01768234,27.79858856,6.3,8,7030,4776,45605823
"8",419.474,1.013010424,2.207774099,3.561060854,84.62910807,184.4422806,297.4988182,8.819695812,19.22181205,31.00409706,0.2203957,8.268263,36.6346,6490.232409,243484.553,1078818.998,2610670,306280,10.986533,11.9752651,13.4786177,13.4786177,0.32,0.12,0.329858187,1.116599713,0.775209212,0.148641327,0.503164297,0.349326257,45.62,27.85,353.31,62.36,10.56,32.55,26.6,60.53,15.63,0.19,0.34,147.98,3.64,20.2,17.1,23,5.488,211.11,"2",29.87821,11454.4251,11.611964,3.87,0.3,192.27,15.22927,-0.00263366202043087,50.3193,"1","1",56.2088,1.82129469034,35083,100,883.2206519,67.5,0.5852,0.255,4.7427,3.7447,1.1596,9.49320000000001,16.7834,26.9942,0.7003,62.3496,1.1613,8.9599,5.2375,0.6598,0.1203,16.7304,0.7144,4.5533,66.47,75.85,9.38,720.97192,5.41e+09,4.8,14.2,10.55,9,2.9,791.1301337,10.64170090655,75.087,74.4,25.74388941,27.19451321,7.4,0,308,207,2968128
"9",35.49,0.313935579,1.630688031,2.270715631,26.2268654,136.2312474,189.7005539,4.624948464,24.02355328,33.45254083,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115,23789338,0,6.7891865,4.9997449,6.4767592,6.4767592,0.17,0.08,7.74940969,4.750517175,22.35798455,0.298839333,0.183193487,0.862187633,30.4,34.03,128.73,31.99,10.17,26.43,6.49,28.35,9.43,0.37,0.2,136.09,4.37,29,29.6,28.4,7.137,1765.88,"4",34.39943,49830.7993,2475.51254439,28.14,8.585,1655.85,13.939,-0.000913842950030144,71.76,"0","0",74.17,1.71818705336,17696,100,4491.629858,89.8,0.72,0.56,2.55,3.252,0.69,22.45,38.77,55.89,0.3345,103.67,4.71,15.25,4.49,0.42,0.17,28.73,0.65,3.84,71.53,82.52,10.99,838.4942,99578500000,4.5,3.5,4.17,3.6,2.6,335.9743509,6.411221076,83.436,82.1,27.71849093,26.87308177,2.2,1,1025,714,25788217
"10",111.698,0.349012635,2.273825511,2.905280516,29.15727948,189.9603602,242.7134934,4.912528162,32.00523628,40.89328266,0.1970276,0.4091946,0.5476114,17333.63315,35999.165,48176.47434,8633169,0,5.4147456,3.2164117,5.0037759,5.0037759,0.32,0.12,2.487738508,5.641363856,2.160686078,0.210688759,0.47777206,0.182990402,35.92,41.07,178.03,21.47,12.79,19.26,13.49,33.58,8.4,0.04,0.28,133.71,3.97,20.1,21.9,18.3,7.213,1681.71,"4",30.84879,42988.0709,637.734305765,27.02,6.565,1634.26,8.778,-0.00147073947232522,56.02,"2","2",68.15,1.920911789,19763,99.3,5138.184731,88.2,1.01,1.22,5.14,5.45,1.1518,9.66,13.19,30.8,0.66,27.58,4.43,15.6837,5.8894,0.61,0.19,16.71,1.03,7.37,70.94,81.54,10.6,920.96967,6.5756e+10,11.6,3.5,3.81,3,2.6,281.0260831,9.201562236,81.544,81.1,26.67288696,24.74923974,2.1,0,247,178,9043072
