"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
"1",39.277,64.1397811,10761942,11.565728,12.2499833,5.5,2.375,156.95589969,"1",39.0045389,1934.555,2.5906,139.2649,52.31,"0","0",42.8,68970,36.418,183.9278576,32.5,38.2354,10.249,4.6855,1.9284,144.16689,1.6701e+11,55.77,64.833,39835428,78.01518738,3764.205122
"2",169.226,42.00774,2684815,7.6878707,7.081062,21.7,5.365,225.27,"3",33.17109,11104.1665,3.8,225.28,37.96,"1","1",43.21,29903,23.6,773.6782919,78.2,25.7639,10.0595,5.0425,4.0734,440.42001,2.01e+09,13.99,78.573,2872934,98.72281671,2036.762168
"3",44.035,25.60362,34927459,12.2647583,12.5937459,27.4,4.745,247.73,"3",27.61573,14228.025,4.5632,348.3068,50.46,"1","1",57.56,34790,85.2,1031.16964,63.7,25.011,8.479,4.4966,2.6039,289.74506,3e+08,24.11,76.88,44616626,80.92368972,2230.249326
"4",931.858,3.1292247952,78014,8.0856197,5.8184757,25.6,6.66806,1364.1012878,"4",32.4017023,59989.899728,21.1031,1386.552,46.3,"2","1",59.52,18446.9,93.328,5948.635486,94.6,25.5772,17.7704,5.3895,3.6526,2164.9558,19018100000,2.11,83.732,77354,96.0004349039,1945.74098474
"5",8.215,90.50985,14375401,8.5194139,7.825495,8.2,3.795,120.76,"2",51.27211,7771.4418,2.17,120.74,56.94,"0","0",51.61,93709,0,195.5144172,40.7,39.9803,10.8153,4.7275,2.4015,65.277954,4.999e+10,71.04,61.147,33933611,72.89185517,4349.176724
"6",30.635,18.03006338,87487,9.9233293,13.0083446,18.9,5.83926,431.8678961,"4",43.8995198,20964.926406,6.0004,451.0571,62.5881,"1","1",68.0708,27937.65,51.1,1105.111025,66.7,28.31,11.8727,4.6951,2.8189,268.01904,2.6e+08,12.81,77.016,98728,65.2173913,1451.086957
"7",657.805,8.5967,41854725,9.8786283,9.4600896,28.3,5.901,500.8641019,"3",38.672942,18556.3831,6.0327,484.9879,75.93,"1","1",74.17,26808,96.8,1389.840341,68.4,27.3444,8.0353,3.8728,2.323,245.00212,8.1e+08,12.06,76.667,45605823,38.16016943,799.6775825
"8",419.474,36.6346,2610670,10.986533,11.9752651,20.2,5.488,211.11,"2",29.87821,11454.4251,3.87,192.27,49.0054,"1","0",56.8029,35083,100,883.2206519,67.5,28.4643,10.0873,5.1697,4.3001,720.97192,5.41e+09,10.55,75.087,2968128,138.1047051,2949.337309
"9",35.49,0.7444149,23789338,6.7891865,4.9997449,29,7.137,1765.88,"4",34.39943,49830.7993,28.14,1655.85,71.76,"0","0",74.17,17696,100,4491.629858,89.8,55.89,15.25,4.49,3.84,838.4942,44420200000,4.17,83.436,25788217,48.80053199,853.2938023
"10",111.698,0.5476114,8633169,5.4147456,3.2164117,20.1,7.213,1681.71,"4",30.84879,42988.0709,27.02,1634.26,56.02,"2","2",68.15,19763,99.3,5138.184731,88.2,30.8,16.1177,5.7851,7.37,920.96967,24142900000,3.81,81.544,9043072,132.1591419,2226.892659
